,initial angle,arc_length,incidence angle,distance from mirror
810,0.0008100810081008101,1.2717169051561343e-05,0.009157858967822818,5.830018393176039e-08
811,0.0008110811081108111,1.2732865719971104e-05,0.009169164538774964,5.844410926712008e-08
812,0.0008120812081208121,1.27485623758595e-05,0.00918047010837032,5.8588211947304866e-08
813,0.0008130813081308131,1.2764259018728651e-05,0.009191775676481042,5.8732491967431945e-08
814,0.0008140814081408141,1.2779955647654824e-05,0.009203081242632423,5.887694931867496e-08
815,0.0008150815081508151,1.2795652264523831e-05,0.009214386807603892,5.9021584018076765e-08
816,0.0008160816081608162,1.2811348868096934e-05,0.009225692370866439,5.916639605390966e-08
817,0.0008170817081708171,1.2827045457944945e-05,0.009236997932434779,5.931138542188202e-08
818,0.0008180818081808181,1.2842742034681311e-05,0.00924830349246895,5.945655212733277e-08
819,0.0008190819081908191,1.2858438598767309e-05,0.009259609051028688,5.9601896174213515e-08
820,0.0008200820082008201,1.2874135149055456e-05,0.009270914607854957,5.974741755157282e-08
821,0.0008210821082108212,1.2889831686067407e-05,0.0092822201630792,5.989311626391567e-08
822,0.0008220822082208221,1.2905528210213152e-05,0.00929352571675801,6.003899231472787e-08
823,0.0008230823082308231,1.2921224720515713e-05,0.009304831268655086,6.018504569459992e-08
824,0.0008240824082408241,1.2936921217479274e-05,0.009316136818957075,6.033127640789079e-08
825,0.0008250825082508251,1.2952617701517302e-05,0.009327442367821974,6.047768445813292e-08
826,0.0008260826082608262,1.2968314172619903e-05,0.009338747915098394,6.062426984491674e-08
827,0.0008270827082708271,1.2984010629818157e-05,0.009350053460664197,6.077103255886344e-08
828,0.0008280828082808281,1.2999707074139695e-05,0.009361359004727668,6.091797260925508e-08
829,0.0008290829082908291,1.301540350447856e-05,0.009372664547056424,6.106508998540751e-08
830,0.0008300830083008301,1.303109992200081e-05,0.009383970087878842,6.121238469792316e-08
831,0.0008310831083108312,1.3046796325124102e-05,0.00939527562678728,6.135985673161566e-08
832,0.0008320832083208321,1.3062492715902796e-05,0.009406581164480126,6.150750610546485e-08
833,0.0008330833083308331,1.3078189093188252e-05,0.009417886700454611,6.165533280834685e-08
834,0.0008340834083408341,1.3093885456732026e-05,0.009429192234691635,6.18033368375867e-08
835,0.0008350835083508351,1.3109581806194657e-05,0.00944049776719949,6.195151818964186e-08
836,0.0008360836083608362,1.3125278142787406e-05,0.009451803298174223,6.209987687561846e-08
837,0.0008370837083708371,1.3140974466262551e-05,0.009463108827685016,6.22484128928583e-08
838,0.0008380838083808381,1.315667077494812e-05,0.009474414355121422,6.239712622519127e-08
839,0.0008390839083908391,1.3172367072041786e-05,0.009485719881594176,6.254601690260008e-08
840,0.0008400840084008401,1.3188063353855737e-05,0.009497025405943061,6.269508488976602e-08
841,0.0008410841084108411,1.3203759623173486e-05,0.009508330928907639,6.284433021278842e-08
842,0.0008420842084208421,1.3219455878559747e-05,0.009519636450181961,6.299375285769484e-08
843,0.0008430843084308431,1.3235152119904297e-05,0.009530941969546096,6.314335282308974e-08
844,0.0008440844084408441,1.3250848347605552e-05,0.009542247487396906,6.329313011243365e-08
845,0.0008450845084508451,1.3266544562276387e-05,0.009553553003703452,6.344308473124899e-08
846,0.0008460846084608461,1.32822407630143e-05,0.009564858518294358,6.359321667058187e-08
847,0.0008470847084708471,1.3297936950004698e-05,0.009576164031277064,6.374352593186752e-08
848,0.0008480848084808481,1.3313633122949557e-05,0.009587469542420075,6.389401251190892e-08
849,0.0008490849084908491,1.3329329283414275e-05,0.009598775052302616,6.404467642539459e-08
850,0.0008500850085008501,1.3345025429123854e-05,0.00961008056023804,6.419551765014887e-08
851,0.0008510851085108511,1.3360721561371558e-05,0.009621386066580051,6.434653619825613e-08
852,0.0008520852085208521,1.3376417679006187e-05,0.00963269157094566,6.449773205829181e-08
853,0.0008530853085308532,1.3392113784792874e-05,0.009643997074228172,6.46491052565754e-08
854,0.0008540854085408541,1.3407809875787087e-05,0.009655302575624327,6.480065576437905e-08
855,0.0008550855085508551,1.3423505952095724e-05,0.009666608075018913,6.495238358237023e-08
